Player,Year,FantasyPoints,rushing_att,1st_down_rush,longest_rushing_att,rushing_yds/att,pass_target,receptions,1d_rec,rec_yds/tgt
Giovani Bernard,2020,111,124,23,15,3.4,59,47,15,6
Mike Davis,2020,148,165,38,25,3.9,70,59,17,5.3
Kenyan Drake,2020,167,239,59,69,4,31,25,5,4.4
Gus Edwards,2020,119,144,45,36,5,13,9,4,9.9
Ezekiel Elliott,2020,172,244,62,31,4,71,52,20,4.8
Wayne Gallman,2020,116,147,36,60,4.6,27,21,6,4.2
Melvin Gordon,2020,166,215,46,65,4.6,44,32,7,3.6
Frank Gore,2020,84,187,32,17,3.5,19,16,3,4.7
Todd Gurley,2020,138,195,45,35,3.5,35,25,7,4.7
Darrell Henderson,2020,114,138,40,40,4.5,24,16,8,6.6
Derrick Henry,2020,314,378,98,94,5.4,31,19,4,3.7
Kareem Hunt,2020,181,198,44,33,4.2,51,38,19,6
Josh Jacobs,2020,198,273,61,28,3.9,45,33,9,5.3
Alvin Kamara,2020,295,187,58,49,5,107,83,35,7.1
J.D. McKissic,2020,111,85,25,17,4.3,110,80,32,5.4
David Montgomery,2020,211,247,59,80,4.3,68,54,25,6.4
Latavius Murray,2020,113,146,36,36,4.5,26,23,8,6.8
Adrian Peterson,2020,113,156,34,38,3.9,18,12,4,5.6
Devin Singletary,2020,106,156,40,51,4.4,50,38,8,5.4
Jonathan Taylor,2020,217,232,69,62,5,39,36,12,7.7
Le'Veon Bell,2019,213,245,36,19,3.2,78,66,20,5.9
Chris Carson,2019,232.6,278,75,59,4.4,47,37,10,5.7
Nick Chubb,2019,255.2,298,62,88,5,49,36,13,5.7
Ezekiel Elliott,2019,311.7,301,78,33,4.5,71,54,21,5.9
Leonard Fournette,2019,259.4,265,55,81,4.3,100,76,23,5.2
Todd Gurley,2019,217.4,223,51,25,3.8,49,31,8,4.2
Derrick Henry,2019,294.6,303,73,74,5.1,24,18,4,8.6
Mark Ingram,2019,238.5,202,53,53,5,29,26,16,8.5
Aaron Jones,2019,314.8,236,55,56,4.6,68,49,18,7
Phillip Lindsay,2019,197.7,224,38,40,4.5,48,35,9,4.1
Christian McCaffrey,2019,469.2,287,57,84,4.8,142,116,58,7.1
Joe Mixon,2019,225.4,278,56,41,4.1,45,35,14,6.4
Adrian Peterson,2019,147,211,41,32,4.3,23,17,7,6.2
Peyton Barber,2018,150.3,234,41,28,3.7,29,20,4,3.2
Saquon Barkley,2018,383.8,261,50,78,5,121,91,30,6
Ezekiel Elliott,2018,329.1,304,84,41,4.7,95,77,24,6
Jordan Howard,2018,180,250,55,42,3.7,26,20,7,5.6
David Johnson,2018,244.6,258,51,53,3.6,76,50,22,5.9
Christian McCaffrey,2018,385.5,219,53,59,5,124,107,41,7
Adrian Peterson,2018,189,251,47,90,4.2,26,20,9,8
C.J. Anderson,2017,173.1,245,47,40,4.1,40,28,7,5.6
Le'Veon Bell,2017,341.6,321,71,27,4,106,85,32,6.2
Isaiah Crowell,2017,141.5,206,39,59,4.1,42,28,9,4.3
Melvin Gordon,2017,288.1,284,61,87,3.9,83,58,22,5.7
Frank Gore,2017,173.6,261,49,21,3.7,38,29,9,6.4
Todd Gurley,2017,383.3,279,69,57,4.7,87,64,32,9.1
Jordan Howard,2017,199.7,276,65,53,4.1,32,23,4,3.9
Kareem Hunt,2017,295.2,272,63,69,4.9,63,53,17,7.2
Carlos Hyde,2017,233.8,240,48,61,3.9,88,59,18,4
Marshawn Lynch,2017,164.2,207,45,51,4.3,31,20,6,4.9
LeSean McCoy,2017,263.6,287,57,48,4,77,59,23,5.8
DeMarco Murray,2017,171.5,184,33,75,3.6,47,39,11,5.7
Isaiah Crowell,2016,205.1,198,45,85,4.8,53,40,14,6
Ezekiel Elliott,2016,325.4,322,95,60,5.1,39,32,11,9.3
Devonta Freeman,2016,284.1,227,66,75,4.8,65,54,22,7.1
Frank Gore,2016,214.2,263,50,22,3.9,47,38,14,5.9
Todd Gurley,2016,198.2,278,49,24,3.2,58,43,16,5.6
David Johnson,2016,405.8,293,73,58,4.2,120,80,42,7.3
LeSean McCoy,2016,296.3,234,56,75,5.4,57,50,17,6.2
DeMarco Murray,2016,293.8,293,67,75,4.4,67,53,20,5.6
Frank Gore,2015,193.4,260,48,37,3.7,58,34,11,4.6
Jeremy Hill,2015,168.3,223,47,38,3.6,19,15,6,4.2
Chris Ivory,2015,202.7,247,51,58,4.3,37,30,10,5.9
Rashad Jennings,2015,164.9,195,42,38,4.4,40,29,8,7.4
Doug Martin,2015,232.3,288,68,84,4.9,44,33,10,6.2
Lamar Miller,2015,231.9,194,41,85,4.5,57,47,15,7
Alfred Morris,2015,96.6,202,35,48,3.7,13,10,2,4.2
Latavius Murray,2015,204.8,266,49,54,4,53,41,9,4.4
Adrian Peterson,2015,260.7,327,72,80,4.5,36,30,9,6.2
Le'Veon Bell,2014,370.5,290,75,81,4.7,105,83,41,8.1
Jamaal Charles,2014,250.4,206,51,63,5,59,40,16,4.9
Matt Forte,2014,342.6,266,65,32,3.9,130,102,28,6.2
Frank Gore,2014,158.7,255,55,52,4.3,19,11,2,5.8
Steven Jackson,2014,141.5,190,38,55,3.7,27,20,6,5.5
Eddie Lacy,2014,272.6,246,60,44,4.6,55,42,18,7.8
LeSean McCoy,2014,199.4,312,68,53,4.2,37,28,10,4.2
Lamar Miller,2014,223.4,216,57,97,5.1,52,38,10,5.3
Alfred Morris,2014,187.9,265,53,30,4.1,26,17,8,6
DeMarco Murray,2014,351.1,392,89,51,4.7,64,57,17,6.5
Jamaal Charles,2013,378,259,72,46,5,104,70,32,6.7
Matt Forte,2013,335.3,289,73,55,4.6,95,74,26,6.3
Frank Gore,2013,190.9,276,50,51,4.1,27,16,5,5.2
BenJarvus Green-Ellis,2013,119.8,220,49,25,3.4,8,4,1,2.8
Chris Johnson,2013,240.2,279,57,30,3.9,52,42,11,6.6
Maurice Jones-Drew,2013,187,234,46,48,3.4,60,43,13,5.2
Eddie Lacy,2013,242.5,284,63,60,4.1,44,35,12,5.8
Marshawn Lynch,2013,275.3,301,73,43,4.2,44,36,12,7.2
LeSean McCoy,2013,330.6,314,79,57,5.1,64,52,24,8.4
Rashard Mendenhall,2013,142.1,217,45,28,3.2,21,18,5,6.4
Lamar Miller,2013,123.9,177,27,49,4,35,26,6,4.9
Knowshon Moreno,2013,296.6,241,56,31,4.3,74,60,30,7.4
Alfred Morris,2013,178.3,276,61,45,4.6,12,9,2,6.5
Marcel Reece,2013,111.8,46,8,63,4.7,54,32,12,6.1
Ray Rice,2013,176.1,214,28,47,3.1,72,58,13,4.5
