Player,Year,FantasyPoints,Targets,First Downs,YBC,YAC,ADOT,Broken Tackles,Drop %,Interceptions,QB Rating
Tyreek Hill,2018,241,137,66,952,527,14.8,4,4.4,6,110.9
Antonio Brown,2018,219.7,168,63,812,485,11.3,5,1.8,11,88.3
Davante Adams,2018,218.6,169,64,911,475,11.3,4,3,0,116.6
DeAndre Hopkins,2018,218.5,163,85,1185,387,11.5,5,1.2,3,115.9
Julio Jones,2018,212.8,170,80,1229,448,14,3,5.3,3,106.9
Mike Evans,2018,198.4,138,68,1242,282,15.6,0,5.1,8,95.2
Adam Thielen,2018,194.3,153,74,957,416,9.4,3,2,2,115.2
Michael Thomas,2018,190.5,147,82,891,514,7.7,6,2,1,124.1
JuJu Smith-Schuster,2018,185.9,166,67,778,648,8.8,7,3.6,4,97.6
Robert Woods,2018,179.6,130,74,799,420,11.4,2,1.5,3,102.1
Tyler Lockett,2018,165.4,70,40,752,213,13.6,0,0,0,158.3
Stefon Diggs,2018,164.3,149,49,573,448,8.6,4,2,2,102.2
Brandin Cooks,2018,163.2,117,70,858,346,12.8,4,0,2,109.1
Keenan Allen,2018,163.1,136,66,793,403,8.6,3,2.9,2,106.7
T.Y. Hilton,2018,163,120,62,815,455,11.2,4,3.3,3,105.2
Odell Beckham Jr.,2018,153.4,124,50,747,305,11.5,6,3.2,4,91.9
Tyler Boyd,2018,145.1,108,54,610,418,9.3,1,4.6,0,122
Calvin Ridley,2018,142.8,92,39,457,364,10.2,0,10.9,2,124.4
Amari Cooper,2018,140.4,107,58,590,415,9.7,2,5.6,,121.4
Mike Williams,2018,137.2,66,42,546,118,14.8,5,3,1,131.6
Kenny Golladay,2018,137.1,119,55,713,350,12.4,6,3.4,2,95.3
Jarvis Landry,2018,136.1,149,44,702,274,11,3,7.4,2,78
Julian Edelman,2018,133.4,108,63,502,348,7.7,4,7.4,2,102.8
Emmanuel Sanders,2018,127.2,98,37,571,297,9.5,6,3.1,2,104.5
Chris Godwin,2018,126.2,95,48,597,245,11.7,2,3.2,2,106.6
